page,subject,pathway,tier,quiz_count,fifa_count,has_common_mistake,has_matching,has_equations,has_rp,has_examiner_tip,lineup
biology/ecology/global-warming,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/maintaining-biodiversity,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/carbon-cycle,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/water-cycle,biology,combined,foundation,2,0,True,True,False,False,False,0011000101
biology/ecology/decomposition,biology,combined,foundation,2,0,True,True,False,True,False,0011001101
biology/ecology/sampling-techniques,biology,combined,foundation,3,1,True,True,True,True,False,1111001111
biology/cell-biology/eukaryotes-prokaryotes,biology,combined,higher,5,2,True,True,True,False,False,1111000111
biology/cell-biology/animal-plant-cells,biology,combined,higher,5,0,True,True,False,True,False,0011001101
biology/cell-biology/cell-specialisation,biology,combined,higher,4,0,True,True,False,False,False,0011000101
biology/cell-biology/microscopy,biology,combined,higher,5,3,True,True,True,True,False,1111101111
biology/cell-biology/chromosomes-mitosis,biology,combined,higher,5,0,True,True,False,False,False,0011100101
biology/cell-biology/stem-cells,biology,combined,higher,4,0,True,True,False,False,False,0011100101
biology/cell-biology/transport-in-cells,biology,combined,higher,5,1,True,True,False,True,False,0011101111
biology/organisation/principles-of-organisation,biology,combined,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,combined,higher,5,0,True,True,False,True,False,0011101101
biology/organisation/enzymes,biology,combined,higher,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,combined,higher,4,0,True,True,False,False,False,0011100101
biology/organisation/blood,biology,combined,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/health-disease,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/cancer,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/plant-tissues,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/transpiration,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/translocation,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/communicable-diseases-defence,biology,combined,higher,4,0,True,True,False,False,False,0011100101
biology/infection-response/viral-diseases,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/antibiotics-painkillers,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/infection-response/drug-discovery-development,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/bioenergetics/photosynthesis,biology,combined,higher,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,combined,higher,3,0,True,True,False,True,False,0011101101
biology/bioenergetics/uses-of-glucose,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,combined,higher,3,0,True,True,True,False,False,0111100101
biology/bioenergetics/anaerobic-respiration,biology,combined,higher,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/homeostasis,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/nervous-system,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reflex-actions,biology,combined,higher,3,0,True,True,False,False,False,0011000101
biology/homeostasis/endocrine-system,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/blood-glucose-diabetes,biology,combined,higher,3,1,True,True,False,False,False,0011100111
biology/homeostasis/human-reproduction-hormones,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/contraception-fertility,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reaction-time,biology,combined,higher,2,1,True,True,True,False,False,1111000111
biology/inheritance/sexual-asexual-reproduction,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/dna-genome,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/genetic-inheritance,biology,combined,higher,3,1,True,True,False,False,False,0011100111
biology/inheritance/inherited-disorders,biology,combined,higher,2,1,True,True,False,False,False,0011100111
biology/inheritance/sex-determination,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/variation,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/evolution-natural-selection,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/selective-breeding,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/genetic-engineering,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/evidence-for-evolution,biology,combined,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/fossils-extinction,biology,combined,higher,2,0,True,True,False,False,False,0011000101
biology/inheritance/resistant-bacteria,biology,combined,higher,3,0,True,True,False,False,False,0011100101
biology/ecology/ecosystems,biology,combined,higher,3,0,True,True,False,False,False,0011100101
